"";"Höhe";"Kurs";"Time";"Date";"Geschwindigkeit GPS";"Breitengrade";"Längengrad";"Satilite";"valid";"PWM1";"PWM2";"PWM3";"PWM4";"PWM5";"xDif";"yDif";"HDOP";"VOLT 1";"CAP 1";"RPM 1";"TEMP 1 ";"AMP 1";"VOLT 2";"AMP 2";"CAP 2";"RPM 2";"TEMP 2 ";"VOLT 3";"AMP 3";"CAP 3";"RPM 3";"TEMP 3";"VOLT 4";"AMP 4";"CAP 4";"RPM 4";"TEMP 4";"Trägheit";"Höhe";"rudder 1";"rudder 2";"rudder 3 ";"rudder 4";"AKKU V 1";"AKKU V 2";"AKKU V 3";"Akku V 4";""
"0";"4m";"0";"22:10:35";"2:7:2017";"2.30";"N40º51'20''";"E9º40'4''";"9";"1";"0";"127";"220";"126";"127";"";"";"1.70";"11.20";"410";"6260";"37";"4.60";"11.30";"9.90";"480";"5920";"38";"11.90";"8.20";"590";"6460";"40";"11.90";"1.10";"570";"5770";"41";"";"";"";"";"";"";"22.60";"21.50";"21.40";"21.80";""
"500";"4m";"0";"22:10:35";"2:7:2017";"2.30";"N40º51'20''";"E9º40'4''";"9";"1";"0";"127";"220";"126";"127";"";"";"1.70";"11.20";"410";"6260";"37";"4.60";"11.30";"9.90";"480";"5920";"38";"11.90";"6.70";"590";"6460";"40";"11.80";"1.10";"570";"5860";"41";"";"";"";"";"";"";"22.60";"21.50";"21.40";"21.80";""
"1000";"4m";"0";"22:10:35";"2:7:2017";"2.30";"N40º51'20''";"E9º40'4''";"9";"1";"0";"127";"220";"126";"127";"";"";"1.70";"11.20";"410";"6213";"100";"6.00";"11.30";"9.90";"480";"5920";"38";"11.90";"4.90";"590";"6560";"40";"11.80";"1.10";"570";"5860";"41";"";"";"";"";"";"";"22.60";"21.50";"21.40";"21.80";""
"1500";"4m";"0";"22:10:35";"2:7:2017";"2.30";"N40º51'20''";"E9º40'4''";"9";"1";"0";"127";"220";"126";"127";"";"";"1.70";"11.20";"410";"6213";"100";"6.00";"11.30";"9.90";"480";"5920";"38";"11.90";"4.90";"590";"6560";"40";"11.80";"1.10";"570";"5860";"41";"";"";"";"";"";"";"22.60";"21.50";"21.40";"21.80";""
"2000";"4m";"0";"22:10:35";"2:7:2017";"2.30";"N40º51'20''";"E9º40'4''";"9";"1";"0";"127";"220";"126";"127";"";"";"1.70";"11.20";"410";"6213";"100";"6.00";"11.30";"9.90";"480";"5920";"38";"11.90";"4.90";"590";"6560";"40";"11.80";"1.10";"570";"5860";"41";"";"";"";"";"";"";"22.60";"21.50";"21.40";"21.80";""
"2500";"4m";"0";"22:10:35";"2:7:2017";"2.30";"N40º51'20''";"E9º40'4''";"9";"1";"0";"127";"220";"126";"127";"";"";"1.70";"11.20";"410";"6213";"100";"6.00";"11.30";"9.90";"480";"5920";"38";"11.90";"4.90";"590";"6560";"40";"11.80";"1.10";"570";"5860";"41";"";"";"";"";"";"";"22.60";"21.50";"21.40";"21.80";""
"3000";"4m";"0";"22:10:35";"2:7:2017";"2.30";"N40º51'20''";"E9º40'4''";"9";"1";"0";"127";"220";"126";"127";"";"";"1.70";"11.20";"410";"6213";"100";"6.00";"11.30";"9.90";"480";"5920";"38";"11.90";"4.90";"590";"6560";"40";"11.80";"1.10";"570";"5860";"41";"";"";"";"";"";"";"22.60";"21.50";"21.40";"21.80";""
"3500";"4m";"0";"22:10:35";"2:7:2017";"2.30";"N40º51'20''";"E9º40'4''";"9";"1";"0";"127";"220";"126";"127";"";"";"1.70";"11.20";"410";"6213";"100";"6.00";"11.30";"9.90";"480";"5920";"38";"11.90";"4.90";"590";"6560";"40";"11.80";"1.10";"570";"5860";"41";"";"";"";"";"";"";"22.60";"21.50";"21.40";"21.80";""
"4000";"4m";"0";"22:10:35";"2:7:2017";"2.30";"N40º51'20''";"E9º40'4''";"9";"1";"0";"127";"220";"126";"127";"";"";"1.70";"11.20";"410";"6213";"100";"6.00";"11.30";"9.90";"480";"5920";"38";"11.90";"4.90";"590";"6560";"40";"11.80";"1.10";"570";"5860";"41";"";"";"";"";"";"";"22.60";"21.50";"21.40";"21.80";""
"4500";"4m";"0";"22:10:35";"2:7:2017";"2.30";"N40º51'20''";"E9º40'4''";"9";"1";"0";"127";"220";"126";"127";"";"";"1.70";"11.20";"410";"6213";"100";"6.00";"11.30";"9.90";"480";"5920";"38";"11.90";"4.90";"590";"6560";"40";"11.80";"1.10";"570";"5860";"41";"";"";"";"";"";"";"22.60";"21.50";"21.40";"21.80";""
"5000";"4m";"0";"22:10:35";"2:7:2017";"2.30";"N40º51'20''";"E9º40'4''";"9";"1";"0";"127";"220";"126";"127";"";"";"1.70";"11.20";"410";"6213";"100";"6.00";"11.30";"9.90";"480";"5920";"38";"11.90";"4.90";"590";"6560";"40";"11.80";"1.10";"570";"5860";"41";"";"";"";"";"";"";"22.60";"21.50";"21.40";"21.80";""
"5500";"4m";"0";"22:10:35";"2:7:2017";"2.30";"N40º51'20''";"E9º40'4''";"9";"1";"0";"127";"220";"126";"127";"";"";"1.70";"11.20";"420";"6090";"38";"8.60";"11.30";"10.30";"500";"6000";"39";"11.90";"4.90";"590";"6560";"40";"11.80";"1.10";"570";"5860";"41";"";"";"";"";"";"";"22.60";"21.50";"21.40";"21.80";""
"6000";"4m";"0";"22:10:35";"2:7:2017";"2.30";"N40º51'20''";"E9º40'4''";"9";"1";"0";"127";"222";"126";"127";"";"";"1.70";"11.20";"420";"6090";"38";"8.60";"11.30";"10.30";"500";"6000";"39";"11.90";"4.90";"590";"6560";"40";"11.80";"1.10";"570";"5860";"41";"";"";"";"";"";"";"22.60";"21.50";"21.40";"21.80";""
"6500";"4m";"0";"22:10:35";"2:7:2017";"2.30";"N40º51'20''";"E9º40'4''";"9";"1";"0";"127";"222";"126";"127";"";"";"1.70";"11.20";"420";"6090";"38";"8.60";"11.30";"10.30";"500";"6000";"39";"11.90";"4.90";"590";"6560";"40";"11.80";"1.10";"570";"5860";"41";"";"";"";"";"";"";"22.60";"21.50";"21.40";"21.80";""
