"";"Höhe";"Kurs";"Time";"Date";"Geschwindigkeit GPS";"Breitengrade";"Längengrad";"Satilite";"valid";"PWM1";"PWM2";"PWM3";"PWM4";"PWM5";"xDif";"yDif";"HDOP";"VOLT 1";"CAP 1";"RPM 1";"TEMP 1 ";"AMP 1";"VOLT 2";"AMP 2";"CAP 2";"RPM 2";"TEMP 2 ";"VOLT 3";"AMP 3";"CAP 3";"RPM 3";"TEMP 3";"VOLT 4";"AMP 4";"CAP 4";"RPM 4";"TEMP 4";"Trägheit";"Höhe";"rudder 1";"rudder 2";"rudder 3 ";"rudder 4";"AKKU V 1";"AKKU V 2";"AKKU V 3";"Akku V 4";""
"0";"4m";"0";"22:8:8";"2:7:2017";"4.10";"N40º51'21''";"E9º40'3''";"7";"1";"0";"127";"209";"126";"127";"";"";"2.50";"11.20";"80";"5520";"32";"6.30";"11.50";"8.00";"100";"5480";"34";"12.00";"4.90";"150";"5470";"35";"12.30";"0.80";"130";"5270";"36";"";"";"";"";"";"";"22.80";"22.30";"22.60";"22.90";""
"500";"4m";"0";"22:8:8";"2:7:2017";"4.10";"N40º51'21''";"E9º40'3''";"7";"1";"0";"127";"208";"126";"127";"";"";"2.50";"11.20";"80";"5440";"32";"6.10";"11.50";"7.80";"100";"5360";"34";"11.90";"5.20";"150";"5470";"35";"12.40";"0.80";"130";"5270";"36";"";"";"";"";"";"";"22.80";"22.30";"22.60";"22.90";""
"1000";"4m";"0";"22:8:8";"2:7:2017";"4.10";"N40º51'21''";"E9º40'3''";"7";"1";"0";"127";"208";"126";"127";"";"";"2.50";"11.20";"80";"5440";"32";"6.10";"11.50";"7.80";"100";"5360";"34";"11.90";"5.80";"150";"5440";"35";"12.40";"0.80";"130";"5270";"36";"";"";"";"";"";"";"22.80";"22.30";"22.60";"22.90";""
"1500";"4m";"0";"22:8:8";"2:7:2017";"4.10";"N40º51'21''";"E9º40'3''";"7";"1";"0";"127";"208";"126";"127";"";"";"2.50";"11.20";"80";"5440";"32";"6.10";"11.50";"7.80";"100";"5360";"34";"11.90";"5.30";"150";"5570";"35";"12.40";"0.80";"130";"5240";"36";"";"";"";"";"";"";"22.80";"22.30";"22.60";"22.90";""
"2000";"4m";"0";"22:8:8";"2:7:2017";"4.10";"N40º51'21''";"E9º40'3''";"7";"1";"0";"127";"208";"126";"127";"";"";"2.50";"11.20";"80";"5440";"32";"6.10";"11.50";"7.80";"100";"5360";"34";"11.90";"5.30";"150";"5570";"35";"12.40";"0.80";"130";"5240";"36";"";"";"";"";"";"";"22.80";"22.30";"22.60";"22.90";""
"2500";"4m";"0";"22:8:8";"2:7:2017";"4.10";"N40º51'21''";"E9º40'3''";"7";"1";"0";"127";"209";"126";"127";"";"";"2.50";"11.20";"90";"5190";"33";"4.50";"11.50";"7.10";"100";"5290";"34";"11.90";"5.30";"150";"5570";"35";"12.40";"0.80";"130";"5240";"36";"";"";"";"";"";"";"22.90";"22.20";"22.10";"22.70";""
"3000";"4m";"0";"22:8:8";"2:7:2017";"4.10";"N40º51'21''";"E9º40'3''";"7";"1";"0";"127";"209";"126";"127";"";"";"2.50";"11.20";"90";"5190";"33";"4.50";"11.50";"7.10";"100";"5290";"34";"11.90";"4.70";"150";"6040";"35";"12.40";"0.90";"140";"5560";"36";"";"";"";"";"";"";"22.90";"22.20";"22.10";"22.70";""
"3500";"4m";"0";"22:8:8";"2:7:2017";"4.10";"N40º51'21''";"E9º40'3''";"7";"1";"0";"127";"128";"126";"127";"";"";"2.50";"11.20";"90";"5600";"33";"4.00";"11.50";"7.70";"100";"5530";"34";"11.90";"4.70";"150";"6040";"35";"12.40";"0.90";"140";"5560";"36";"";"";"";"";"";"";"22.90";"22.20";"22.10";"22.70";""
"4000";"4m";"0";"22:8:8";"2:7:2017";"4.10";"N40º51'21''";"E9º40'3''";"7";"1";"0";"127";"128";"126";"127";"";"";"2.50";"11.20";"90";"0";"33";"2.60";"11.50";"4.90";"110";"0";"34";"11.90";"4.70";"150";"6040";"35";"12.40";"0.90";"140";"5560";"36";"";"";"";"";"";"";"22.90";"22.20";"22.10";"22.70";""
"4500";"4m";"0";"22:8:8";"2:7:2017";"4.10";"N40º51'21''";"E9º40'3''";"7";"1";"0";"127";"128";"126";"127";"";"";"2.50";"11.20";"90";"0";"33";"2.60";"11.50";"4.90";"110";"0";"34";"11.90";"3.30";"150";"0";"35";"12.40";"0.40";"140";"0";"36";"";"";"";"";"";"";"22.90";"22.20";"22.10";"22.70";""
